Timestamp,Extruder_Temp_C,Melt_Pressure_Bar,Metering_Pump_RPM,Godet1_Torque_Nm,Godet2_Torque_Nm,Spinning_Speed_mpm,Fiber_Tension_cN,Tear_Detected
2026-04-26 08:00:00,270.01,179.18,18.01,9.86,18.09,3197.2,3.18,0
2026-04-26 08:00:01,270.01,179.29,18.01,9.45,17.53,3202.6,3.17,0
2026-04-26 08:00:02,270.03,182.06,18.08,10.49,18.64,3201.5,3.21,0
2026-04-26 08:00:03,270.06,180.03,17.92,10.38,17.54,3200.2,3.16,0
2026-04-26 08:00:04,270.06,180.81,17.83,9.85,18.88,3204.7,3.33,0
2026-04-26 08:00:05,270.05,179.23,18.02,10.22,17.58,3196.7,3.19,0
2026-04-26 08:00:06,270.09,179.27,18.03,10.07,16.45,3197.1,3.23,0
2026-04-26 08:00:07,270.11,181.14,18.15,9.36,17.21,3199.9,3.23,0
2026-04-26 08:00:08,270.1,178.7,17.87,9.45,17.46,3196.8,3.15,0
2026-04-26 08:00:09,270.11,179.64,18.12,10.67,19.25,3202.5,3.43,0
2026-04-26 08:00:10,270.1,180.08,18.24,10.01,18.51,3196.4,2.97,0
2026-04-26 08:00:11,270.09,180.16,17.96,9.76,19.37,3201.1,3.39,0
2026-04-26 08:00:12,270.09,179.87,17.87,9.55,19.29,3199.5,3.16,0
2026-04-26 08:00:13,270.05,180.42,17.96,9.79,17.64,3201.1,3.28,0
2026-04-26 08:00:14,270.0,180.69,18.0,9.69,17.71,3197.7,3.12,0
2026-04-26 08:00:15,269.99,180.73,18.06,9.51,17.57,3198.3,3.1,0
2026-04-26 08:00:16,269.96,179.0,17.94,9.15,17.49,3200.5,3.26,0
2026-04-26 08:00:17,269.97,179.7,18.16,10.61,16.59,3201.0,3.33,0
2026-04-26 08:00:18,269.95,181.17,17.89,10.48,17.99,3200.0,3.25,0
2026-04-26 08:00:19,269.91,180.85,17.83,9.7,17.48,3208.5,3.32,0
2026-04-26 08:00:20,269.95,178.6,18.11,9.87,17.68,3195.0,3.46,0
2026-04-26 08:00:21,269.95,180.32,17.77,9.54,19.67,3199.7,3.32,0
2026-04-26 08:00:22,269.95,178.0,17.98,9.55,17.12,3192.1,3.14,0
2026-04-26 08:00:23,269.91,180.0,18.31,9.9,18.27,3201.9,3.21,0
2026-04-26 08:00:24,269.9,181.85,18.0,9.56,18.39,3194.4,3.03,0
2026-04-26 08:00:25,269.9,179.0,17.89,10.95,18.14,3198.6,3.15,0
2026-04-26 08:00:26,269.87,179.1,17.99,9.71,18.12,3198.1,3.28,0
2026-04-26 08:00:27,269.88,180.7,17.99,9.65,17.79,3201.4,3.13,0
2026-04-26 08:00:28,269.87,178.39,18.02,9.51,17.65,3197.2,3.04,0
2026-04-26 08:00:29,269.86,179.3,18.07,10.4,17.05,3197.0,3.2,0
2026-04-26 08:00:30,269.84,180.52,17.9,9.46,19.11,3207.2,3.38,0
2026-04-26 08:00:31,269.89,179.31,18.17,9.68,16.69,3201.4,3.16,0
2026-04-26 08:00:32,269.89,179.71,18.02,10.61,18.61,3197.2,3.04,0
2026-04-26 08:00:33,269.86,180.68,18.07,10.07,16.8,3198.7,3.33,0
2026-04-26 08:00:34,269.88,180.36,17.94,10.43,19.26,3208.2,3.41,0
2026-04-26 08:00:35,269.85,180.19,18.13,11.02,17.65,3198.8,3.05,0
2026-04-26 08:00:36,269.86,179.59,17.97,9.99,16.81,3196.6,3.01,0
2026-04-26 08:00:37,269.81,180.27,18.03,9.51,18.26,3196.6,3.1,0
2026-04-26 08:00:38,269.78,179.76,17.91,9.75,18.58,3197.3,3.23,0
2026-04-26 08:00:39,269.78,180.35,17.9,9.31,17.47,3197.0,3.21,0
2026-04-26 08:00:40,269.8,179.4,18.07,10.37,18.19,3193.6,3.2,0
2026-04-26 08:00:41,269.8,179.72,17.96,10.06,15.83,3194.4,2.95,0
2026-04-26 08:00:42,269.8,178.91,17.91,10.4,16.69,3195.9,3.15,0
2026-04-26 08:00:43,269.79,179.86,17.94,10.72,19.21,3203.0,3.41,0
2026-04-26 08:00:44,269.76,179.07,18.07,9.72,17.71,3198.1,3.31,0
2026-04-26 08:00:45,269.74,178.76,17.94,9.49,16.45,3199.0,3.23,0
2026-04-26 08:00:46,269.73,180.12,17.99,10.23,17.82,3206.4,3.58,0
2026-04-26 08:00:47,269.75,180.09,18.0,9.82,17.65,3206.5,3.4,0
2026-04-26 08:00:48,269.76,180.66,17.81,10.03,17.78,3198.6,3.29,0
2026-04-26 08:00:49,269.72,179.43,17.85,10.44,17.51,3196.8,3.16,0
2026-04-26 08:00:50,269.73,180.27,18.03,9.74,17.88,3195.7,3.05,0
2026-04-26 08:00:51,269.72,180.41,17.93,10.21,18.15,3203.5,3.2,0
2026-04-26 08:00:52,269.7,180.29,18.11,9.91,19.03,3199.0,3.21,0
2026-04-26 08:00:53,269.72,179.03,18.1,10.32,18.22,3198.1,3.15,0
2026-04-26 08:00:54,269.74,180.02,18.07,9.5,18.12,3195.9,2.95,0
2026-04-26 08:00:55,269.76,180.25,18.18,8.75,18.7,3196.2,3.03,0
2026-04-26 08:00:56,269.74,179.88,17.99,10.3,17.79,3201.6,3.21,0
2026-04-26 08:00:57,269.74,177.78,18.06,10.23,16.6,3193.4,3.15,0
2026-04-26 08:00:58,269.74,180.03,17.94,10.42,19.26,3205.0,3.31,0
2026-04-26 08:00:59,269.77,182.1,18.25,9.57,17.95,3197.3,3.15,0
2026-04-26 08:01:00,269.76,179.52,18.2,9.4,18.07,3199.3,3.1,0
2026-04-26 08:01:01,269.75,179.15,18.0,9.98,17.09,3193.3,3.08,0
2026-04-26 08:01:02,269.72,180.24,18.04,10.07,17.5,3199.9,3.34,0
2026-04-26 08:01:03,269.69,180.16,18.14,9.87,18.58,3198.4,3.2,0
2026-04-26 08:01:04,269.71,181.05,17.99,10.9,18.77,3199.7,3.06,0
2026-04-26 08:01:05,269.75,178.62,17.93,9.82,19.07,3207.4,3.23,0
2026-04-26 08:01:06,269.75,180.6,18.09,10.92,18.69,3200.9,3.29,0
2026-04-26 08:01:07,269.77,180.48,18.01,9.86,18.22,3196.0,3.11,0
2026-04-26 08:01:08,269.78,179.75,18.02,8.94,17.89,3196.4,3.13,0
2026-04-26 08:01:09,269.76,180.22,17.92,10.03,18.04,3203.0,3.21,0
2026-04-26 08:01:10,269.77,180.92,17.83,10.74,19.36,3206.5,3.39,0
2026-04-26 08:01:11,269.81,180.78,18.02,9.87,17.79,3201.4,3.21,0
2026-04-26 08:01:12,269.81,178.76,18.09,9.4,18.5,3203.4,3.26,0
2026-04-26 08:01:13,269.85,180.75,17.98,10.04,17.54,3203.0,3.18,0
2026-04-26 08:01:14,269.78,179.83,18.14,9.86,17.9,3207.1,3.44,0
2026-04-26 08:01:15,269.81,179.98,17.93,9.86,17.23,3190.3,2.99,0
2026-04-26 08:01:16,269.81,179.98,17.89,10.52,17.56,3203.3,3.34,0
2026-04-26 08:01:17,269.8,179.75,17.99,9.67,18.93,3204.9,3.19,0
2026-04-26 08:01:18,269.8,181.09,17.99,9.38,16.52,3193.3,3.25,0
2026-04-26 08:01:19,269.75,179.79,18.08,10.2,17.81,3195.6,3.25,0
2026-04-26 08:01:20,269.75,178.75,17.92,9.4,17.85,3195.7,2.94,0
